ID,birthyeat,gender,height,weight,Fitness
6H9J5,2004,Male,175,59,Average
554AS,1998,Male,185,71,Average
J3P05,1993,Male,181,71,Good
VV420,1984,Male,203,88,Average
I69N5,1965,Female,169,65,Average
3SZ05,1974,Male,180,76,Perfect
3ILB5,1995,Female,170,55,Bad
FEHQT,1992,Male,198,98,Good
263FX,1999,Male,185,95,Average
7TYQ5,1992,Male,185,78,Perfect
7N8X2,1991,Male,181,85,Good
O98BP,1994,Male,175,96,Bad
TLL4U,1995,Female,168,65,Average
52537,1972,Female,168,85,Average
0WETT,1997,Male,193,77,Good
O335K,1965,Female,160,70,Average
P48AY,1963,Male,187,80,Good
UEQQG,1977,Male,179,94,Average
94ZYW,1989,Male,176,72,Good
NB0J3,1980,Male,186,110,Average
9G920,2002,Male,178,60,Average
HSUF4,1977,Female,163,61,Good
4B3U9,1987,Male,179,82,Average
A6765,1995,Male,187,84,Average
O0P60,2004,Male,190,89,Good
M7553,1993,Female,167,78,Good
99K2M,1996,Female,160,61,Perfect
AK498,1964,Male,190,103,Average
839V3,1996,Male,190,80,Average
91EP7,1985,Female,170,62,Good
7UQSU,1985,Male,170,90,Average
5A2EN,1966,Male,188,69,Good
T87P4,1969,Female,168,76,Average
